HOUR_OF_THE_DAY,AVERGAE_ARRIVAL_DELAY(min)
0,5.39903235786756
1,4.072141193848558
2,4.839751465853772
3,5.7081302543762344
4,6.990980967388886
5,6.967215768810458
6,8.229053215928623
7,9.016878157848888
8,8.462906393192233
9,9.090852011268723
10,4.397430240226989
11,8.326850134808016
12,2.2592609586098447
13,3.9910286779900206
14,4.821326733956548
15,0.8568263671689887
16,-0.1838647200340458
17,-0.1715557987740025
18,0.39170465092296586
19,0.8885335285674376
20,1.4717180975659436
21,2.235136181530485
22,2.5575290654428904
23,2.87319065321738
